fid;P50
1;4.439057
2;6.316767
3;5.819317
4;5.654048
5;5.920377
6;5.657631
7;6.331411
8;6.650391
9;7.421643
10;7.752738
11;2.064815
12;5.940467
13;2.674474
14;3.238654
15;3.939529
16;4.335434
17;4.228726
18;5.00584
19;6.692053
20;6.118624
21;5.8824
22;6.237303
23;5.705562
24;6.280499
25;7.124143
26;7.176677
27;7.372093
28;7.979081
29;8.092078
30;8.715941
31;9.10158
32;11.304672
33;0.142552
34;5.088946
35;1.113154
36;3.244382
37;3.601064
38;4.144281
39;4.623653
40;4.523334
41;5.20576
42;6.735576
43;6.392552
44;6.135901
45;5.261177
46;6.451446
47;5.110402
48;3.72563
49;3.808389
50;4.834191
51;8.860371
52;9.047495
53;8.697845
54;9.164487
55;9.539039
56;11.680899
57;13.490599
58;13.776747
59;13.473163
60;13.779526
61;13.511285
62;1.481462
63;1.192317
64;1.023262
65;1.455401
66;3.100947
67;3.4397
68;4.1843
69;5.07143
70;5.611463
71;6.259441
72;6.272816
73;6.646883
74;7.377125
75;7.495982
76;8.218365
77;8.558187
78;8.937031
79;9.157842
80;9.630138
81;9.794545
82;9.522335
83;10.054725
84;10.2885
85;12.29177
86;13.753034
87;14.21194
88;14.178681
89;14.123241
90;14.498171
91;13.985072
92;2.47746
93;2.23584
94;1.955334
95;1.75281
96;1.59327
97;1.687592
98;2.510616
99;3.903499
100;4.341932
101;5.465219
102;6.6138
103;7.437907
104;7.467601
105;7.640824
106;8.049321
107;8.110505
108;8.633471
109;9.784578
110;11.090185
111;13.059288
112;0.71616
113;2.195774
114;3.766549
115;3.94464
116;4.339021
117;4.613882
118;4.781014
119;5.521268
120;6.503889
121;6.696762
122;6.705138
123;6.999332
124;6.970554
125;7.746734
126;7.911803
127;8.047665
128;8.177936
129;8.605724
130;8.950384
131;10.447988
132;12.212383
133;13.659836
134;13.984576
135;0.701433
136;0.933846
137;2.096579
138;3.042755
139;4.201914
140;4.728314
141;5.113624
142;5.347334
143;5.155065
144;5.791718
145;6.799191
146;7.081742
147;7.662049
148;7.654757
149;7.928952
150;8.077208
151;6.121122
152;7.193187
153;7.699686
154;7.783507
155;8.008733
156;8.102802
157;8.75578
158;9.445843
159;9.57242
160;10.255076
161;11.007918
162;10.79391
163;10.711842
164;11.16572
165;11.298487
166;12.898657
167;14.285016
168;14.253515
169;14.633866
170;14.614553
171;15.21257
172;13.85888
173;14.530939
174;2.72375
175;2.712687
176;2.606806
177;2.4247
178;2.194008
179;2.08592
180;1.981524
181;1.821684
182;2.264528
183;4.277237
184;4.942725
185;5.984265
186;7.180347
187;7.917377
188;8.484004
189;8.832111
190;8.701321
191;8.875753
192;9.330052
193;10.259795
194;10.549251
195;10.847586
196;11.704497
197;12.160246
198;12.334299
199;12.225141
200;12.77466
201;14.473904
202;15.617894
203;14.664181
204;15.014508
205;14.829826
206;15.565137
207;14.030617
208;14.712417
209;2.698587
210;2.887012
211;2.784988
212;2.699349
213;2.60802
214;2.452847
215;2.400606
216;2.228019
217;2.063654
218;2.310848
219;3.818239
220;4.903963
221;5.765445
222;7.050239
223;7.984643
224;8.812479
225;9.355062
226;9.858706
227;10.14385
228;10.375388
229;10.488626
230;11.165995
231;11.497959
232;11.352108
233;12.628283
234;12.862312
235;13.076271
236;13.278954
237;13.929598
238;15.236066
239;16.243948
240;15.540632
241;15.568138
242;15.964364
243;16.149343
244;15.764419
245;14.89661
246;15.274195
247;14.775393
248;0.303494
249;1.397442
250;2.062953
251;2.492567
252;2.749113
253;2.898415
254;2.794214
255;2.727745
256;2.786583
257;2.603691
258;2.559422
259;2.184535
260;2.154494
261;2.623368
262;4.871721
263;5.647309
264;6.768292
265;8.112202
266;8.657457
267;9.586139
268;10.415738
269;11.291386
270;11.863459
271;11.966105
272;12.016705
273;12.112804
274;12.197632
275;12.762407
276;14.056863
277;13.536311
278;14.586001
279;14.791577
280;14.588102
281;16.183882
282;16.065281
283;15.695843
284;16.249033
285;16.704744
286;17.130642
287;16.714237
288;16.538879
289;16.208702
290;14.815668
291;14.072881
292;12.596075
293;0.692175
294;0.604366
295;0.578837
296;0.624159
297;0.917329
298;0.972744
299;0.947909
300;0.919777
301;0.767025
302;0.672876
303;0.475448
304;0.240722
305;0.577839
306;1.034574
307;1.695488
308;2.330571
309;2.549929
310;2.736126
311;2.783516
312;2.832542
313;2.818166
314;2.726078
315;2.520686
316;2.350003
317;2.20147
318;2.415386
