fid;Naam;Webadres;Tel;KvKnr;Plaats;SBICode;SBINaam;Kans;Keten;Typering;AantalMedewerkers;TJ_Warmte;TJ_CondWarmte;NM3Gas_CondWarmte;Red_tonCO2_CondWarmte;TJ_MTWarmte;NM3Gas_MTWarmte;kWh_MTWarmte;Red_tonCO2_MTWarmte
1;P. van Oosterhout Beheer BV;;076-5873383;20068066;BREDA;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
2;Vion Apeldoorn BV;www.vionfood.com;;8035667;APELDOORN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
3;Tieben Vlees BV;www.tiebenvlees.nl;0599-417002;55363318;MUSSELKANAAL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
4;Prime Meat BV;www.primemeat.nl;0251-268250;37047662;BEVERWIJK;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
5;Yakhlaf VOF;www.yakhlaf.nl;075-6702369;35019788;ZAANDAM;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
6;T. Boer en Zonen BV;www.boer.com;0180-395395;29021606;NIEUWERKERK AD IJSSEL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
7;Uitbeenstichting Goedegebuur;www.goedegebuur.nl;010-2452600;24299522;ROTTERDAM;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
8;Slachthuis Kerkrade BV;;045-5458683;14080867;KERKRADE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
9;Slachthuis Henk van Kemenade BV;;0493-695660;17092984;ASTEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
10;Wouters Vleesverwerking BV;www.toppers4jobs.nl;0527-611818;5068860;BLOKZIJL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
11;Compaxo Vlees Zevenaar BV;www.compaxo.nl;0316-584444;9069623;ZEVENAAR;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
12;Fa. W. Kosse en Co.;www.kossevlees.nl;0523-615944;5034964;DEDEMSVAART;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
13;Hartjes Vlees BV;www.hartjesvlees.nl;0412-648435;16028138;OSS;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
14;Vion Groenlo BV;www.vion-in-nederland.com;0544-476100;8050304;GROENLO;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
15;Vleesbedrijf Bolscher BV;www.bolscher.nl;053-4800100;8089529;ENSCHEDE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
16;Atalay Uitbeenbedrijf BV;www.atalay-uitbeenbedrijf.nl;053-7504664;55417078;ENSCHEDE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
17;Uitbeenbedrijf Rien van Oss BV;www.uitbeenbedrijfrien.nl;0418-636072;16040961;VELDDRIEL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
18;Van Hessen BV;www.vanhessen.com;0180-330100;29042012;NIEUWERKERK AD IJSSEL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
19;Vleesverwerkingsbedrijf M. Stolk BV;;033-8887866;30125332;AMERSFOORT;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
20;Vion Retail Groenlo BV;www.vionconvience.nl;0544-473100;8033640;GROENLO;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
21;L. van Schaik Uitbeenbedrijf BV;;070-4042780;27134526;WATERINGEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
22;Van den Boom Kwaliteitsvlees BV;;0413-212381;16024676;ERP;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
23;G.J. Hutten en Zonen BV;www.vleesverwerkinghutten.nl;0572-321220;38011007;HEETEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
24;Ganeshi Vleesverwerking BV;;053-8511391;6090801;ENSCHEDE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
25;Vleesbewerking Van der Pijl BV;www.vleesbewerkingvanderpijl.nl;0172-515328;28044571;NIEUWKOOP;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
26;Rendac Son BV;www.rendac.com;0499-364500;17066640;SON EN BREUGEL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
27;Commandeur Eko Vlees BV;www.commandeurekovlees.nl;0229-540960;53674774;DE GOORN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
28;G. van Dalen's Vleescentrale BV;www.gvandalen.nl;0224-214884;37089442;SCHAGEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
29;Detailresult Slagerijen BV;www.dekamarkt.nl;0251-276617;34043232;VELSEN-NOORD;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
30;Uitbeenbedrijf A. Trzonnek BV;;06-51451882;14058676;ECHT;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
31;Ekro BV;www.ekro.nl;055-5492192;8033633;APELDOORN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
32;Vion Tilburg BV;www.vionfood.nl;013-4620800;18033277;TILBURG;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
33;Vleesindustrie Valkenswaard BV;www.vleesvalkenswaard.com;;14037090;VALKENSWAARD;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
34;Westfort Gorinchem BV;www.westfort.nl;0183-665100;30192681;GORINCHEM;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
35;Vee- en Vleeshandel Beernink BV;;0541-521624;6080237;OLDENZAAL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
36;Sonac Eindhoven BV;;0511-467333;59078499;SUMAR;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
37;Plukon Blokker BV;www.plukon.nl;0229-262720;36014431;BLOKKER;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
38;Pluimveeverwerking Jan van Ee BV;www.janvanee.nl;0342-441305;24252610;STROE;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
39;Broviand VOF;www.broviand.nl;0493-496248;17107052;SOMEREN;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
40;T.J. Brouwers Holding BV;;0165-382343;20017875;ST. WILLEBRORD;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
41;Van der Linden Poultry Products BV;;077-3072525;12017531;BERINGE;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
42;Exportslachterij Clazing BV .;www.clazing.nl;0180-632247;29026498;ZEVENHUIZEN ZH;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
43;Storteboom Sprundel BV;www.storteboom.nl;0165-380600;18122393;SPRUNDEL;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
44;Pluimveeslachterij G.P. Remkes BV;www.remkes.nl;0578-612672;8061509;EPE;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
45;Langeveld/Sleegers BV;www.langeveld-sleegers.nl;024-6489900;12036519;WIJCHEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
46;Plukon Goor BV;www.pingo.nl;0547-284868;6020877;GOOR;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
47;Nauwxs BV;www.nauwxs.nl;0578-621060;8042530;EPE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
48;Uitbeenbedrijf Compact BV;;030-2440088;30156277;DE MEERN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
49;Haka Vlees BV;www.kossevlees.nl;0529-454186;5037882;OMMEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
50;Exportslachterij J. Gosschalk en Zn BV;www.gosschalk.nl;0578-677000;8038155;EPE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
