fid;PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y
1;0;1Transvir;Rigastraat;18;Deventer;7418 EW;2;Klein;200-1000;<0,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;210725;472581
2;9;Cellnex;Energieweg;2;Alphen a/d Rijn;2404 HE;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;104289;461229
3;10;Cellnex;Louise Henriëttestraat;385;Den Haag;2595 TS;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;82939;455238
4;11;Cellnex;Cornelisweg;10;Goes;4463 AK;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;50686;392388
5;12;Cellnex;Koos Postemalaan;2;Hilversum;1217 ZC;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;140105;472603
6;13;Cellnex;Van Veenstraat;26;Hoogersmilde;9423 VB;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;223382;546668
7;14;Cellnex;Hogebiezendijk;21;Ijsselstein;3401 RS;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;132093;446907
8;15;Cellnex;Larenseweg;58;Markelo;7475 PX;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;227027;472617
9;16;Cellnex;Op de Meuleberg;7;Roermond;6041 NK;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;196164;355128
10;17;Cogent;Haarlemmerstraatweg;133;Halfweg;1165 MK;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;109382;488727
11;18;Colt;Van der Madeweg;12;Duivendrecht;1114 AM;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;123573;482358
12;1;AtlasEdge;Van der Madeweg;12;Amsterdam;1114 AM;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;123573;482358
13;19;Colt;Argonweg;9;Roosendaal;4706 NR;6;Middel-groot;10K-40K;25-100;44-176;30-120;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;93984;394865
14;20;CyrusOne;Linieweg;1;Halfweg;1165 AA;6;Middel-groot;10K-40K;25-100;44-176;30-120;240-580;30-35;(2) uitkoppeling warmte is voorbereid;108437;488566
15;21;Data Facilities;Moezel;5;Den Haag;2491 CV;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;86392;453410
16;22;Data Facilities;Boyleweg;2;Spijkenisse;3208 KA;2;Klein;200-1000;0,5-2,5;4,4-8,8;3-6;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;80231;430207
17;23;Databarn;Zekeringstraat;35;Amsterdam;1014 BV;3;Klein;1000-2000;0,5-2,5;8,8-22;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;118514;489977
18;24;Databarn;Rivium Boulevard;62;Capelle a/d Ijssel;2909 LK;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;97167;436083
19;25;Datacenter Almere;Randstad;22, Nr. 153;Almere;1314 BB;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;144094;487829
