fid;Provincie;Gemeente;GMcode;RESregio;REScode;BronNaam;TypeBron;bron_temp;MWth;corrfactor;status;Source;X;Y;wkt;MWth_max;bron_vol;bron_cap;T_bron
1;Gelderland;Barneveld;GM0203;Foodvalley;ES09;Givaudan Nederland BV Barneveld;;;0.0;;Optie B;MT;168000;464350;POINT(168000 464350);;;;
2;Utrecht;Utrecht;GM0344;U16;ES14;Asfaltcentrale Lage Weide;BMC;;21.0;;Optie C;MT;133085;458365;POINT(133085 458365);;;;
3;Zeeland;Borsele;GM0654;Zeeland;ES24;EPZ NV Conventional Operations;Kern;;349.8;;Optie C;MT;38794;384007;POINT(38794 384007);;;;
4;Zuid-Holla;Rotterdam;GM0599;Rotterdam/;ES23;EOn Benelux NV Maasvlakte;Kolen;80;320.88;;Optie C;MT;61481;442057;POINT(61481 442057);;;;
5;Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Steenfabriek Huissenswaard;Industrie;0;0.0;;Optie B;MT;196100;436150;POINT(196100 436150);;;;
6;Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Energiecooperatie Greenhouse Energy;Industrie;0;0.0;;Optie B;MT;191490;436460;POINT(191490 436460);;;;
7;Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Rodruza Steenfabriek de Zandberg;Industrie;0;0.0;;Optie B;MT;195162;430027;POINT(195162 430027);;;;
8;Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Wienerberger Steenfabriek Bemmel;Industrie;0;0.0;;Optie B;MT;191377;432158;POINT(191377 432158);;;;
9;Drenthe;Coevorden;GM0109;Drenthe;ES03;Smurfit Kappa Solid Board Coevorden;Industrie;;0.0;;Optie B;MT;246400;519750;POINT(246400 519750);3.0;;;
10;Drenthe;Coevorden;GM0109;Drenthe;ES03;EVI Abfallverwertung Laar;AVI;;47.09;;Optie B;MT;246562;518354;POINT(246562 518354);47.09;;;
11;Drenthe;Coevorden;GM0109;Drenthe;ES03;Katshaar Zuivel BV;;;0.0;;Optie B;MT;253097;520062;POINT(253097 520062);3.0;;;
12;Gelderland;Barneveld;GM0203;Foodvalley;ES09;PFW Aroma Chemicals;;;0.0;;Optie B;MT;168109;464271;POINT(168109 464271);;;;
13;Drenthe;Emmen;GM0114;Drenthe;ES03;DSM Resins BV Schoonebeek;Industrie;;15.85;;Optie B;MT;255180;523500;POINT(255180 523500);15.85;;;
14;Drenthe;Emmen;GM0114;Drenthe;ES03;Cumapol Emmen BV;Industrie;;0.0;;Optie B;MT;257552;533045;POINT(257552 533045);82.3;;;
15;Drenthe;Emmen;GM0114;Drenthe;ES03;DSM Advanced Polyesters Emmen BV;Industrie;;0.38;;Optie B;MT;257552;533045;POINT(257552 533045);82.3;;;
16;Drenthe;Emmen;GM0114;Drenthe;ES03;DSM Engineering Plastics Emmen BV;Industrie;;0.92;;Optie B;MT;257552;533045;POINT(257552 533045);82.3;;;
17;Drenthe;Emmen;GM0114;Drenthe;ES03;Emmtec Services BV;Gasturbine;;75.0;;Optie B;MT;257552;533045;POINT(257552 533045);82.3;;;
18;Drenthe;Emmen;GM0114;Drenthe;ES03;Teijin Aramid BV Emmen;Industrie;;0.0;;Optie B;MT;257552;533045;POINT(257552 533045);82.3;;;
19;Drenthe;Emmen;GM0114;Drenthe;ES03;Rademakers Gieterij BV;Industrie;;0.0;;Optie B;MT;261750;526950;POINT(261750 526950);3.0;;;
20;Drenthe;Emmen;GM0114;Drenthe;ES03;Cabot Norit Activated Carbon Klazienaveen;Industrie;;0.0;;Optie B;MT;263800;528000;POINT(263800 528000);3.0;;;
21;Drenthe;Hoogeveen;GM0118;Drenthe;ES03;Vliegveld Hoogeveen;Industrie;;0.0;;Optie B;MT;231250;527750;POINT(231250 527750);3.0;;;
22;Drenthe;Hoogeveen;GM0118;Drenthe;ES03;DOC Kaas Zuivelpark;;;0.0;;Optie B;MT;231671;525745;POINT(231671 525745);3.0;;;
23;Gelderland;Barneveld;GM0203;Foodvalley;ES09;Pluimveeverwerkingsbedrijf Jan van Ee BV;Slachthuis;;0.0;;Optie B;MT;176126;465468;POINT(176126 465468);;;;
24;Drenthe;Meppel;GM0119;Drenthe;ES03;FrieslandCampina Kievit Meppel;Industrie;;0.0;;Optie B;MT;208200;523000;POINT(208200 523000);3.0;;;
25;Drenthe;Aa en Hunze;GM1680;Drenthe;ES03;Avebe ua Gasselternijveen;Industrie;;18.25;;Optie B;MT;254450;556800;POINT(254450 556800);18.25;;;
26;Drenthe;Tynaarlo;GM1730;Drenthe;ES03;Vliegveld Luchthaven Eelde;Industrie;;0.0;;Optie B;MT;235230;571295;POINT(235230 571295);3.0;;;
27;Drenthe;Midden-Drenthe;GM1731;Drenthe;ES03;Noblesse Proteins BV;;;0.0;;Optie B;MT;230460;533980;POINT(230460 533980);3.0;;;
